する	373810
の	161028
てる	154739
いる	118824
なる	96373
ん	92828
ある	77051
ー	76800
れる	66630
こと	65323
ない	60813
人	57898
思う	54089
くる	50673
いい	49088
そう	45446
さん	43131
やる	41054
見る	38091
できる	35256
よう	32139
みる	30866
これ	30728
今日	29913
的	29261
行く	28619
いう	25970
寝る	25761
気	25583
言う	25546
何	25246
時間	23389
日	22626
中	22544
しまう	22145
一	21935
時	20878
すぎる	20363
どう	19673
使う	19580
自分	19225
出る	19062
買う	19050
もの	18972
さ	18612
それ	18300
もう	17961
今	17874
いく	17872
書く	16187
明日	16062
良い	16047
わかる	15780
私	15735
俺	15618
話	15575
られる	15373
方	15347
前	15198
作る	15191
年	14811
食べる	14572
みたい	14487
考える	14269
く	14110
飲む	13631
読む	13359
くれる	12724
者	12642
せる	12539
来る	12470
感じ	12368
ちょっと	12366
すごい	12341
あと	12096
帰る	12043
仕事	11942
僕	11877
円	11849
目	11773
よい	11648
会	11503
ニコニコ	11448
日本	11409
ため	11178
ゲーム	11121
知る	10934
終わる	10850
ところ	10812
まだ	10778
１	10568
なん	10468
面白い	10380
家	10216
よく	10194
多い	10150
好き	10104
とき	9972
会社	9927
聞く	9827
入る	9760
動画	9721
化	9471
回	9377
問題	9373
誰	9315
ちゃう	9198
二	9088
でる	9056
最近	8964
まあ	8900
ちゃん	8868
情報	8792
持つ	8775
性	8651
っぽい	8573
無い	8565
本	8400
東京	8393
欲しい	8317
悪い	8311
死ぬ	8305
分かる	8302
万	8097
感	8049
２	8015
事	7911
くださる	7859
早い	7796
分	7645
版	7614
起きる	7595
入れる	7495
どこ	7470
高い	7454
みんな	7380
出来る	7334
わけ	7296
楽しい	7208
ほう	7176
数	7082
上	7006
いける	6971
世界	6946
０	6902
朝	6863
必要	6858
意味	6801
忘れる	6766
おく	6726
度	6699
ﾟ	6653
違う	6587
後	6571
ら	6571
やばい	6548
生	6516
力	6508
出す	6484
系	6423
見える	6341
ここ	6250
ニコ	6216
店	6186
とりあえず	6126
月	6099
うち	6071
ブクマ	6030
もらう	5993
ブログ	5973
ニュース	5937
手	5931
つける	5912
研究	5860
人間	5855
サイト	5843
昨日	5840
写真	5827
駅	5819
曲	5773
そろそろ	5696
勉強	5668
３	5666
とる	5603
うまい	5580
コード	5542
♪	5536
ふる	5456
頭	5455
普通	5452
つく	5448
ちる	5447
ネット	5443
眠い	5432
しれる	5424
本当に	5400
やっぱり	5397
ほしい	5395
開発	5392
痛い	5387
以上	5369
かわいい	5344
たち	5341
夜	5296
もっと	5263
アニメ	5181
ほる	5173
なに	5162
メール	5105
一番	5103
|	5092
変わる	5059
かける	5035
先生	5005
用	5005
感じる	4989
大丈夫	4951
金	4901
怖い	4726
もん	4721
関係	4705
結構	4696
雨	4689
屋	4663
音	4656
かかる	4634
名前	4620
ネタ	4610
なんで	4593
次	4585
ちゃんと	4584
食う	4575
三	4567
ぽい	4540
なぜ	4510
検索	4502
行う	4464
動く	4451
アプリ	4435
過ぎる	4409
頑張る	4403
やつ	4395
作業	4376
サービス	4366
件	4365
部屋	4361
発表	4361
まま	4302
使える	4297
いろいろ	4296
はず	4293
対応	4265
マジ	4257
外	4245
ダメ	4238
色々	4232
先	4219
時代	4218
可能	4210
機能	4205
おる	4189
生きる	4182
せい	4180
やめる	4139
参加	4131
予定	4129
笑	4126
レベル	4125
全部	4123
電車	4109
め	4088
夢	4082
やすい	4081
寒い	4065
新しい	4042
京都	4027
子	3993
あれ	3992
結果	3986
帰宅	3973
薬	3960
ツイート	3943
強い	3928
他	3923
かなり	3916
心	3916
全然	3910
場合	3903
言葉	3887
難しい	3849
開始	3845
様	3838
君	3835
いま	3828
ｗｗｗ	3827
状態	3819
内	3813
大学	3810
酒	3803
結局	3798
携帯	3783
ひどい	3782
始める	3781
そこ	3772
地震	3760
男	3759
映画	3739
方法	3735
日記	3725
すげる	3722
今年	3713
いつも	3708
テレビ	3698
人生	3697
ページ	3682
歳	3681
思い出す	3678
気持ち	3674
昔	3672
ひる	3664
点	3663
顔	3651
電話	3649
型	3629
技術	3621
社会	3617
画像	3573
割	3570
ぼる	3569
やっぱ	3559
区	3555
可愛い	3545
発売	3544
文字	3536
女子	3536
くん	3532
終了	3501
以外	3489
位	3488
言語	3487
更新	3460
物	3454
とても	3433
ずっと	3426
ライブ	3410
間	3402
少し	3402
完全	3401
最後	3397
まくる	3385
無理	3383
記事	3376
テスト	3369
あなた	3368
久しぶり	3365
取る	3357
ねる	3357
風呂	3351
